In Both,Exclusive to Flagged,WATCHLIST
i240641,i240680,i240713
i240658,i250552,i250501
i240732,i250581,i250502
i240740,i250588,i250509
i240745,i250615,i250519
i240896,i250648,i250526
i250500,i250649,i250528
i250521,i250688,i250543
i250530,i250702,i250565
i250538,i250713,i250577
i250549,i250786,i250582
i250555,i250817,i250606
i250574,i251019,i250609
i250587,i252526,i250680
i250618,,i250681
i250636,,i250691
i250687,,i250726
i250706,,i250756
i250711,,i250785
i250718,,i250818
i250730,,i250875
i250736,,i250914
i250738,,i250941
i250739,,i250953
i250750,,i250963
i250758,,i250975
i250765,,i250992
i250780,,
i250783,,
i250796,,
i250807,,
i250812,,
i250813,,
i250825,,
i250848,,
i250851,,
i250852,,
i250861,,
i250863,,
i250864,,
i250898,,
i250913,,
i250917,,
i250951,,
i250956,,
i250964,,
i250973,,
i250998,,
i251013,,
i251034,,
