File 1,Similarity 1 (%),File 2,Similarity 2 (%),Lines Matched
./i250574/,28,./i250812/,31,292
./i240641/,13,./i240732/,10,226
./i250587/,19,./i250636/,16,310
./i250706/,15,./i251013/,14,254
./i240641/,12,./i250587/,17,185
./i250521/,15,./i250951/,13,273
./i250807/,11,./i251013/,13,257
./i240732/,7,./i250587/,15,178
./i240896/,11,./i250863/,16,217
./i240641/,10,./i250636/,12,224
./i250636/,12,./i250998/,15,245
./i240740/,13,./i250861/,11,178
./i250813/,5,./i251013/,10,155
./i250706/,10,./i250807/,8,199
./i250687/,8,./i250807/,8,150
./i240658/,10,./i250615/,9,172
./i250807/,7,./i250861/,9,159
./i250783/,12,./i250807/,7,166
./i250863/,13,./i251013/,9,167
./i240896/,8,./i251013/,9,198
./i250738/,11,./i250852/,11,183
./i250587/,11,./i250998/,12,150
./i250500/,11,./i250998/,12,174
./i240740/,10,./i250807/,7,140
./i240745/,10,./i250702/,17,136
./i250687/,7,./i250964/,6,160
./i240732/,5,./i250636/,9,167
./i250861/,8,./i251013/,8,149
./i250618/,17,./i250780/,18,151
./i240896/,7,./i250807/,6,190
./i250500/,10,./i250636/,8,175
./i250807/,6,./i250863/,11,148
./i250848/,6,./i250956/,6,190
./i240680/,8,./i250973/,14,121
./i250538/,11,./i250956/,6,165
./i240896/,7,./i250813/,4,151
./i240680/,8,./i250500/,10,121
./i250783/,11,./i251013/,8,134
./i240740/,9,./i250998/,10,127
./i250587/,9,./i250730/,11,121
./i250500/,9,./i250852/,9,158
./i250587/,9,./i250807/,6,131
./i250786/,6,./i250817/,2,161
./i250636/,8,./i250730/,10,139
./i240680/,7,./i250765/,6,110
./i240896/,7,./i250750/,7,162
./i250851/,7,./i251013/,7,124
./i250738/,8,./i250875/,7,102
./i250552/,7,./i250848/,5,158
./i250765/,5,./i250852/,8,121
./i250687/,5,./i250688/,8,554
./i250609/,17,./i250941/,6,105
./i250588/,10,./i250750/,7,142
./i250649/,7,./i250851/,6,133
./i240896/,6,./i250861/,6,169
./i240896/,6,./i250555/,5,143
./i250796/,9,./i250898/,8,159
./i250521/,7,./i250549/,12,143
./i250575/,6,./i250830/,5,118
./i240732/,4,./i250500/,8,113
./i250706/,7,./i250783/,9,112
./i250656/,6,./i250731/,13,107
./i240740/,8,./i252526/,11,127
./i240658/,6,./i250975/,4,121
./i240641/,5,./i250973/,11,102
./i250861/,6,./i250998/,8,104
./i250713/,4,./i250807/,5,105
./i250687/,5,./i250861/,6,114
./i250750/,6,./i253072/,5,105
./i240740/,7,./i240896/,6,128
./i240641/,5,./i250730/,9,111
./i250706/,6,./i250736/,7,121
./i240745/,7,./i250530/,10,152
./i250998/,8,./i251034/,13,110
./i250711/,4,./i250825/,4,143
./i240896/,5,./i250851/,6,127
./i240740/,7,./i251013/,6,110
./i250956/,5,./i252526/,11,123
./i250582/,7,./i250706/,6,117
./i240896/,5,./i250736/,6,136
./i250509/,13,./i250609/,15,102
./i250813/,3,./i250941/,6,102
./i250521/,6,./i250913/,22,149
./i250687/,5,./i250851/,6,115
./i240680/,6,./i250956/,5,109
./i250718/,9,./i250917/,10,147
./i250688/,7,./i250964/,4,108
./i240680/,5,./i250785/,5,126
./i250636/,6,./i250765/,5,109
./i250648/,5,./i250917/,10,132
./i250523/,9,./i250573/,70,67
./i250573/,70,./i250576/,3,67
./i250964/,4,./i251013/,6,112
./i250581/,9,./i251013/,6,132
./i250500/,7,./i250738/,7,124
./i240896/,5,./i250577/,10,115
./i250636/,6,./i250861/,6,118
./i240896/,5,./i250565/,6,117
./i240896/,5,./i252526/,10,112
./i250861/,5,./i252526/,10,110
./i250739/,5,./i250917/,10,128
./i250500/,7,./i250973/,9,123
./i250550/,7,./i251024/,4,104
./i250756/,5,./i250875/,6,127
./i250739/,5,./i252526/,10,114
./i250577/,10,./i250863/,8,101
./i250645/,5,./i250817/,1,100
./i240896/,5,./i250713/,4,119
./i240896/,5,./i250956/,4,106
./i250502/,10,./i250813/,2,122
./i250765/,4,./i250973/,9,102
./i250636/,5,./i250852/,6,128
./i250750/,5,./i250818/,5,101
./i240745/,6,./i250953/,3,116
./i240732/,3,./i250730/,7,108
./i250616/,6,./i250958/,9,100
./i250750/,5,./i250825/,4,148
./i250726/,11,./i250739/,5,115
./i250736/,6,./i250863/,7,110
./i250848/,3,./i250917/,9,107
./i250852/,6,./i251034/,11,100
./i250917/,9,./i251019/,5,109
./i250538/,7,./i250582/,6,128
./i250501/,24,./i250758/,5,123
./i250914/,11,./i251034/,11,108
./i250758/,5,./i250864/,6,138
./i250500/,6,./i250730/,7,141
./i250841/,6,./i250998/,7,102
./i250758/,5,./i252526/,9,112
./i250502/,9,./i250973/,9,123
./i250587/,6,./i250713/,3,112
./i250552/,4,./i251019/,5,140
./i240896/,4,./i250765/,4,101
./i250509/,11,./i251002/,26,80
./i240896/,4,./i250848/,3,106
./i250519/,10,./i250731/,10,104
./i240745/,6,./i250521/,5,110
./i250606/,5,./i250863/,7,108
./i250528/,4,./i250543/,6,100
./i250649/,5,./i250837/,4,103
./i250758/,5,./i250848/,3,116
./i250649/,5,./i250706/,5,103
./i250521/,5,./i250688/,6,105
